payment_id,invoice_id,payment_date,amount_paid,currency,payment_method
PAY300475,INV200469,02/13/2026,5588.76,USD,ACH
PAY300441,INV200583,2026-02-14,3629.78,USD,Check
PAY300453,INV200350,02/14/2026,9282.67,USD,ACH
PAY300460,INV200244,2026-02-17,1493.64,USD,ACH
PAY300462,INV200245,2026-02-17,10744.44,USD,check
PAY300473,INV200418,02/17/2026,643.28,USD,ACH
PAY300440,INV200262,02/20/2026,96416.28,USD,Wire Transfer
PAY300461,INV200129,2026-02-22,19731.61,USD,ACH
PAY300449,INV200145,2026-02-23,89561.19,USD,ACH
PAY300467,INV200393,02/23/2026,3147.33,USD,ACH
PAY300468,INV200258,2026-02-24,2082.48,USD,ACH
PAY300470,INV200206,2026-02-25,2160.55,USD,ACH
PAY300474,INV200449,2026-02-26,127.61,USD,Wire Transfer
PAY300422,INV200613,2026-02-27,9162.51,USD,check
PAY300489,INV200078,2026-03-03,14298.27,CAD,check
PAY300472,INV200039,2026-03-05,7873.99,USD,ACH
PAY300481,INV200123,2026-03-05,12196.53,USD,Corporate Card
PAY300498,INV200066,03/06/2026,15006.19,USD,Corporate Card
PAY300500,INV200053,2026-03-07,1415.49,USD,ACH
PAY300466,INV200277,2026-03-08,5508.80,USD,ACH
PAY300487,INV200618,03/08/2026,951.76,USD,Check
PAY300491,INV200495,2026-03-08,2335.37,GBP,ach
PAY300459,INV200494,2026-03-09,7007.23,USD,ACH
PAY300477,INV200488,2026-03-10,43804.32,USD,Wire Transfer
PAY300451,INV200138,2026-03-11,14357.22,USD,Check
PAY300382,INV200587,2026-03-12,3130.35,USD,ACH
PAY300494,INV200665,2026-03-13,2335.37,GBP,Wire Transfer
PAY300499,INV200409,03/13/2026,8366.77,USD,Check
PAY300483,INV200132,2026-03-14,11299.53,USD,Wire Transfer
PAY300493,INV200493,2026-03-14,2180.16,USD,ACH
PAY300464,INV200512,2026-03-15,10660.76,USD,ACH
PAY300495,INV200111,2026-03-16,2984.12,USD,ACH
PAY300496,INV200400,2026-03-17,1734.68,USD,ACH
PAY300476,INV200584,2026-03-19,6962.82,USD,ACH
PAY300463,INV200089,2026-03-20,113824.02,USD,  Check
PAY300519,INV200470,2026-03-20,1479.54,USD,Check
PAY300465,INV200195,2026-03-25,3662.07,USD,Wire Transfer
PAY300485,INV200594,2026-03-25,16085.53,USD,check
PAY300512,INV200352,2026-03-26,1791.11,USD,CHECK
PAY300492,INV200131,03/27/2026,1396.58,USD,Corporate Card
PAY300488,INV200013,2026-03-29,1853.54,USD,  Corporate Card
PAY300507,INV200284,2026-03-30,13755.06,GBP,Wire Transfer
PAY300478,INV200658,2026-03-31,5448.27,USD,Wire Transfer
PAY300480,INV200635,2026-03-31,5945.67,USD,Wire Transfer
PAY300510,INV200502,2026-04-01,109992.41,USD,ACH
PAY300518,INV200176,2026-04-01,598.28,USD,ACH
PAY300509,INV200364,2026-04-05,929.48,GBP,ACH
PAY300523,INV200003,2026-04-06,5267.84,GBP,ACH
PAY300484,INV200511,2026-04-07,39163.63,USD,ACH
PAY300528,INV200446,2026-04-07,26279.06,USD,Check  
PAY300417,INV200221,2026-04-09,2491.57,USD,Wire Transfer
PAY300469,INV200491,2026-04-09,1854.77,USD,Wire Transfer
PAY300526,INV200538,2026-04-10,65397.74,USD,wire transfer
PAY300504,INV200278,2026-04-11,1458.13,USD,ACH
PAY300527,INV200309,2026-04-13,9411.69,USD,Wire Transfer
PAY300529,INV200398,2026-04-13,40907.60,USD,Corporate Card
PAY300513,INV200408,04/16/2026,3749.43,USD,ACH
PAY300511,INV200014,2026-04-17,22.21,USD,Corporate Card
PAY300524,INV200269,04/17/2026,1207.49,USD,Wire Transfer
PAY300525,INV200193,2026-04-17,23654.16,USD,CHECK
PAY300530,INV200451,2026-04-17,439.49,USD,Wire Transfer
PAY300445,INV200455,04/18/2026,17237.27,USD,ACH
PAY300486,INV200040,2026-04-19,26434.54,USD,Wire Transfer
PAY300517,INV200242,2026-04-19,5975.62,USD,ACH
PAY300533,INV200521,2026-04-20,113609.56,GBP,Wire Transfer
PAY300514,INV200073,2026-04-21,5375.96,USD,Check
PAY300516,INV200157,2026-04-21,22801.32,USD,ACH
PAY300508,INV200114,04/23/2026,11030.54,USD,  ACH
PAY300471,INV200312,2026-04-24,1836.34,USD,Check
PAY300522,INV200034,2026-04-27,7365.82,USD,ACH
PAY300482,INV200022,04/28/2026,387.60,USD,Check
PAY300534,INV200024,28-APR-2026,5570.42,USD,ach
PAY300536,INV200337,04/29/2026,1948.92,USD,Wire Transfer
PAY300556,INV200027,2026-04-30,406.71,EUR,ACH
PAY300554,INV200457,2026-05-02,135.83,EUR,Wire Transfer
PAY300538,INV200560,05/04/2026,827.80,USD,  Wire Transfer
PAY300551,INV200310,2026-05-04,3739.86,USD,  ACH
PAY300428,INV200153,2026-05-05,3077.91,GBP,Check
PAY300515,INV200595,05/05/2026,4434.38,USD,ACH
PAY300490,INV200196,05/06/2026,2581.85,USD,ACH
PAY300542,INV200285,05/06/2026,13863.18,GBP,Corporate Card
PAY300520,INV200146,2026-05-07,231.80,USD,  ACH
PAY300532,INV200403,2026-05-08,13419.20,USD,Corporate Card
PAY300543,INV200371,08-MAY-2026,5026.38,USD,ACH
PAY300479,INV200399,2026-05-09,13210.67,USD,Check
PAY300531,INV200212,2026-05-09,2510.28,USD,ACH
PAY300540,INV200137,2026-05-09,22209.77,USD,Check
PAY300550,INV200361,2026-05-09,1084.93,USD,ACH
PAY300535,INV200056,2026-05-10,11695.72,USD,ACH  
PAY300456,INV200379,2026-05-12,4751.06,GBP,Check
PAY300457,INV200128,2026-05-12,5453.19,USD,  Check
PAY300443,INV200322,15-MAY-2026,68842.95,USD,ACH
PAY300555,INV200049,2026-05-15,106825.72,USD,Wire Transfer
PAY300537,INV200184,2026-05-16,4520.99,USD,ACH
PAY300502,INV200450,2026-05-17,65.75,USD,Corporate Card  
PAY300545,INV200456,2026-05-20,174.88,EUR,Corporate Card
PAY300544,INV200238,2026-05-22,7148.40,USD,ACH
PAY300549,INV200035,2026-05-26,21124.91,USD,Corporate Card
PAY300559,INV200644,2026-05-29,2144.37,USD,Wire Transfer
PAY300553,INV200015,2026-05-30,4130.39,USD,ACH
PAY300562,INV200620,06/01/2026,1281.75,USD,ACH
PAY300539,INV200177,2026-06-03,347.26,USD,Check
PAY300458,INV200536,04-JUN-2026,6201.80,USD,ACH  
PAY300560,INV200041,06/04/2026,82700.03,USD,Wire Transfer
PAY300521,INV200142,2026-06-05,13982.42,USD,Check
PAY300547,INV200324,2026-06-10,67894.98,USD,ACH
PAY300501,INV200401,2026-06-11,592.39,USD,ACH
PAY300566,INV200230,2026-06-15,11404.68,USD,ACH
PAY300568,INV200363,18-JUN-2026,4914.88,USD,Check
PAY300497,INV200209,19-JUN-2026,11931.78,USD,Wire Transfer
PAY300557,INV200641,2026-06-23,13551.00,CAD,ACH
PAY300565,INV200593,24-JUN-2026,60763.98,USD,Wire Transfer
PAY300552,INV200419,2026-06-26,2048.17,USD,ACH
PAY300574,INV200435,2026-06-26,17011.67,USD,Wire Transfer
PAY300576,INV200621,2026-06-26,85.65,USD,Corporate Card
PAY300505,INV200619,29-JUN-2026,3079.11,USD,Wire Transfer
PAY300558,INV200362,01-JUL-2026,14026.07,USD,Check
PAY300563,INV200425,07/01/2026,3885.21,USD,ACH
PAY300503,INV200668,2026-07-02,1415.49,USD,Wire Transfer
PAY300541,INV200402,07/02/2026,1928.43,USD,Corporate Card
PAY300564,INV200052,2026-07-07,7039.76,USD,Check
PAY300573,INV200574,2026-07-07,170.85,USD,Check
PAY300548,INV200313,2026-07-09,145.43,USD,Check
PAY300546,INV200115,2026-07-11,8502.61,USD,ach
PAY300567,INV200650,07/11/2026,9578.25,USD,ACH
PAY300575,INV200656,2026-07-27,2966.31,USD,ACH
PAY300569,INV200339,2026-07-30,3377.12,USD,ACH
PAY300577,INV200190,08/01/2026,985.38,USD,Wire Transfer
PAY300561,INV200286,2026-08-04,10318.77,GBP,ACH
PAY300579,INV200067,2026-08-06,7613.55,USD,ACH
PAY300506,INV200023,2026-08-07,175.72,USD,check
PAY300580,INV200317,2026-08-08,575.63,USD,  ACH
PAY300572,INV200119,2026-08-09,32334.08,USD,ACH
PAY300571,INV200582,10-AUG-2026,26725.57,USD,  Wire Transfer
PAY300581,INV200585,2026-08-11,1014.32,USD,Check
PAY300582,INV200340,2026-08-11,2412.55,USD,ACH
PAY300583,INV200518,08/11/2026,2448.46,USD,check
PAY300578,INV200031,2026-08-14,13442.38,USD,ACH
PAY300570,INV200667,2026-08-15,4914.88,USD,Wire Transfer  
PAY300584,INV200232,2026-08-15,34050.82,USD,  ACH
PAY300143,INV200516,05/02/2025,5006.29,USD,Check
PAY300480,INV200635,2026-03-31,5945.67,USD,Wire Transfer
PAY300016,INV200412,2024-11-17,798.36,USD,  Check
